632 contracts in generation 2 and 1 contract in generation 3:

mysql> select creatorAddress, count(*) as c from eth.contractCreatedContract where generation=2 group by creatorAddress order by c desc;
+--------------------------------------------+----+
| creatorAddress                             | c  |
| 0x4da2d05af4d0efbe75d9b2684190b46f5825f6c2 |  1 |
| 0x8b3fbe4632d6a1d5226f6a4aa7228e96c9623e7b |  1 |
| 0xeee53c2b53662c3ceeaf9f69c3e73d4265e4096b |  1 |
| 0x368292a455e3d80dd973c7cf8686b32821dac3f4 |  1 |
| 0x58c60f466dd3951a02f6bd63dd77b9d75c5439d3 |  1 |
| 0x0a6794fb71a4f567e6eb432ade293db7faf4b8d8 |  1 |
| 0xe64d2bdc23ef12c8c099cd1ab0016c92efff7116 |  1 |
| 0xed2e8f650c1e3ae487eb3431a0be4ee397876136 |  1 |
| 0xf73b8424f14b9b4f55e91049733b6f6129b55c90 |  1 |
| 0x6c1cc6eb3e64d228b478c52f8729dddb9644df78 |  1 |
| 0xbcc6dac24cdba2628f1b8b01398be63947b6706c |  1 |
| 0x2b18473b06d6c58f6e399ab81473edbc9cee0e9f |  1 |
| 0x66734d6103442d898986eed8fad848b2680d9f5e |  1 |
| 0xeae9fe3276ed55bf61cd6e89a99e60ca8560d043 |  1 |
| 0x10a4af044d2097cd9cc38a04bc92a7ae46ea09ee |  1 |
| 0xf90126f0f65839c5820aabc90b2fc18285196383 |  1 |
| 0xd0939fdd5daaed53441e08603d6018ce61c1dcd4 |  1 |
| 0x52a3a2043cb99751521d1cca7fa0cb089b4cf466 |  1 |
| 0x916cb20dcb0a0fbb58ad7c2849e2c5f71ee1f578 |  1 |
| 0xd9e3589e1846890375ee92bde24b1b3af9f28eca |  1 |
| 0x924beaa8fec56de25fb067a2a80c3e8573d8660d |  1 |
| 0x6800c0b2dfa1d9319196866cf0733a717db49403 |  1 |
| 0x5bfa695f82e17ddfed6570c4f1ea9ba32250b1ed |  1 |
| 0x32dfe42ef7aff3e68dd46701c9939cee141f8783 |  1 |
| 0x1e13fe8b949e0ae43ab40dd3ccf7419b574fd05a |  1 |
| 0xdae4cbfc536013e65086f8a52ede871b2eac7a9c |  1 |
| 0x19a0c851ce45da0cb09b1c9877cff638ef455a28 |  1 |
| 0x006ccf0024169e9746ed0a472bb29982a07895f7 |  1 |
| 0xe59dff8d47c3ab70cad594c2aa7e8b871e8a1231 |  1 |
| 0x12fd45f30c937e19c27c5722c6cea0ff5b7f570f |  1 |
| 0xf7918bf51c75497a8c7803edcf0c7a499504c3c3 |  1 |
| 0x5a255ce16aadd974c05805b069a55a9e3455b1db |  1 |
+--------------------------------------------+----+
182 rows in set (1.92 sec)



mysql> select creatorAddress, count(*) as c from eth.contractCreatedContract where generation=3 group by creatorAddress order by c desc;
+--------------------------------------------+---+
| creatorAddress                             | c |
+--------------------------------------------+---+
| 0xca1fbffcbf1fdd4037ad7d42b37558c249c2f099 | 1 |
+--------------------------------------------+---+
